Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.io.FilenameUtils	java.lang.String normalizeNoEndSeparator(java.lang.String,boolean)	4	1	1
org.apache.commons.io.FilenameUtils	java.lang.String concat(java.lang.String,java.lang.String)	29	1	1
org.apache.commons.io.FilenameUtils	java.lang.String separatorsToUnix(java.lang.String)	6	1	1
org.apache.commons.io.FilenameUtils	java.lang.String separatorsToWindows(java.lang.String)	6	1	1
org.apache.commons.io.FilenameUtils	java.lang.String separatorsToSystem(java.lang.String)	12	1	1
org.apache.commons.io.FilenameUtils	int getPrefixLength(java.lang.String)	34	1	1
org.apache.commons.io.FilenameUtils	int indexOfLastSeparator(java.lang.String)	4	1	1
org.apache.commons.io.FilenameUtils	int indexOfExtension(java.lang.String)	8	1	1
org.apache.commons.io.FilenameUtils	java.lang.String getPrefix(java.lang.String)	31	2	1
org.apache.commons.io.FilenameUtils	java.lang.String getPath(java.lang.String)	33	3	2
org.apache.commons.io.FilenameUtils	java.lang.String getPathNoEndSeparator(java.lang.String)	29	2	1
org.apache.commons.io.FilenameUtils	java.lang.String getFullPath(java.lang.String)	28	1	1
org.apache.commons.io.FilenameUtils	java.lang.String getFullPathNoEndSeparator(java.lang.String)	34	2	2
org.apache.commons.io.FilenameUtils	java.lang.String getName(java.lang.String)	7	2	1
org.apache.commons.io.FilenameUtils	java.lang.String getBaseName(java.lang.String)	8	2	1
org.apache.commons.io.FilenameUtils	java.lang.String getExtension(java.lang.String)	13	1	1
org.apache.commons.io.FilenameUtils	java.lang.String removeExtension(java.lang.String)	13	1	1
org.apache.commons.io.FilenameUtils	boolean equals(java.lang.String,java.lang.String)	7	1	1
org.apache.commons.io.FilenameUtils	boolean equalsOnSystem(java.lang.String,java.lang.String)	7	1	1
org.apache.commons.io.FilenameUtils	boolean equalsNormalized(java.lang.String,java.lang.String)	8	1	1
org.apache.commons.io.FilenameUtils	boolean equalsNormalizedOnSystem(java.lang.String,java.lang.String)	11	2	2
org.apache.commons.io.FilenameUtils	boolean equals(java.lang.String,java.lang.String,boolean,org.apache.commons.io.IOCase)	4	1	1
org.apache.commons.io.FilenameUtils	boolean isExtension(java.lang.String,java.lang.String)	25	2	1
org.apache.commons.io.FilenameUtils	boolean isExtension(java.lang.String,java.lang.String[])	30	1	1
org.apache.commons.io.FilenameUtils	boolean isExtension(java.lang.String,java.util.Collection)	30	1	1
org.apache.commons.io.FilenameUtils	boolean wildcardMatch(java.lang.String,java.lang.String)	22	1	1
org.apache.commons.io.FilenameUtils	boolean wildcardMatchOnSystem(java.lang.String,java.lang.String)	20	1	1
org.apache.commons.io.FilenameUtils	boolean wildcardMatch(java.lang.String,java.lang.String,org.apache.commons.io.IOCase)	31	2	1
org.apache.commons.io.FilenameUtils	java.lang.String[] splitOnTokens(java.lang.String)	10	1	1
org.apache.commons.io.DirectoryWalker$CancelException	java.io.File getFile()	6	4	2
org.apache.commons.io.DirectoryWalker$CancelException	int getDepth()	8	4	4
org.apache.commons.io.FileSystemUtils	long freeSpace(java.lang.String)	2	1	1
org.apache.commons.io.FileSystemUtils	long freeSpaceKb(java.lang.String)	2	1	1
org.apache.commons.io.FileSystemUtils	long freeSpaceOS(java.lang.String,int,boolean,long)	10	5	5
org.apache.commons.io.FileSystemUtils	long freeSpaceWindows(java.lang.String,long)	9	9	null
org.apache.commons.io.FileSystemUtils	long freeSpaceUnix(java.lang.String,boolean,boolean,long)	31	13	6
org.apache.commons.io.ThreadMonitor	java.lang.Thread start(long)	4	3	1
org.apache.commons.io.ThreadMonitor	void stop(java.lang.Thread)	4	3	1
org.apache.commons.io.LineIterator	boolean hasNext()	28	18	3
org.apache.commons.io.LineIterator	java.lang.String next()	5	3	1
org.apache.commons.io.LineIterator	java.lang.String nextLine()	2	1	1
org.apache.commons.io.LineIterator	void close()	2	1	1
org.apache.commons.io.LineIterator	void closeQuietly(org.apache.commons.io.LineIterator)	12	5	5
org.apache.commons.io.LineIterator	java.lang.Object next()	14	14	null
org.apache.commons.io.CopyUtils	void copy(byte[],java.io.OutputStream)	2	2	null
org.apache.commons.io.CopyUtils	void copy(byte[],java.io.Writer)	2	2	null
org.apache.commons.io.CopyUtils	void copy(java.lang.String,java.io.OutputStream)	2	2	null
org.apache.commons.io.CopyUtils	void copy(java.lang.String,java.io.Writer)	2	2	null
org.apache.commons.io.Charsets	java.nio.charset.Charset toCharset(java.nio.charset.Charset)	3	1	1
org.apache.commons.io.output.DemuxOutputStream	void close()	2	2	null
org.apache.commons.io.output.DemuxOutputStream	void write(int)	3	3	null
org.apache.commons.io.output.CloseShieldOutputStream	void close()	2	2	null
org.apache.commons.io.output.WriterOutputStream	void write(byte[])	4	4	null
org.apache.commons.io.output.WriterOutputStream	void write(int)	3	3	null
org.apache.commons.io.output.WriterOutputStream	void flush()	2	2	null
org.apache.commons.io.output.WriterOutputStream	void close()	4	4	null
org.apache.commons.io.output.NullOutputStream	void write(byte[],int,int)	2	2	null
org.apache.commons.io.output.NullOutputStream	void write(int)	6	4	1
