Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.collections4.bidimap.TreeBidiMap$Inverse	int size()	6	2	2
org.apache.commons.collections4.bidimap.TreeBidiMap$Inverse	boolean isEmpty()	2	2	null
org.apache.commons.collections4.bidimap.TreeBidiMap$Inverse	java.lang.Object get(java.lang.Object)	64	9	7
org.apache.commons.collections4.ListUtils$Partition	int size()	76	40	15
org.apache.commons.collections4.ListUtils$Partition	boolean isEmpty()	24	14	5
org.apache.commons.collections4.map.LRUMap	java.lang.Object get(java.lang.Object)	64	9	7
org.apache.commons.collections4.map.SingletonMap	java.lang.Object get(java.lang.Object)	64	9	7
org.apache.commons.collections4.map.SingletonMap	int size()	6	2	2
org.apache.commons.collections4.map.SingletonMap	boolean isEmpty()	2	2	null
org.apache.commons.collections4.map.AbstractHashedMap$KeySetIterator	java.lang.Object next()	28	21	4
org.apache.commons.collections4.map.StaticBucketMap	int size()	6	2	2
org.apache.commons.collections4.map.StaticBucketMap	boolean isEmpty()	2	2	null
org.apache.commons.collections4.map.StaticBucketMap	java.lang.Object get(java.lang.Object)	64	9	7
org.apache.commons.collections4.map.StaticBucketMap	boolean equals(java.lang.Object)	28	2	2
org.apache.commons.collections4.map.StaticBucketMap	int hashCode()	4	2	2
org.apache.commons.collections4.map.SingletonMap$SingletonValues	int size()	23	15	4
